,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111
0,1.026776092,-0.73614532,0.37389971,-0.320190157,1.150956292,1.730556976,-0.122775086,-0.005817912,-1.551027479,-0.939123427,-1.417906743,1.143653007,-0.054332845,1.415667608,0.352923718,0.151663091,-0.323440599,-0.153443816,-0.581266006,-0.551489205,0.508142018,-0.792053453,0.124970768,0.870535516,-0.812756241,1.636498081,-0.039020857,-0.174314648,-1.282239655,-0.195762079,0.989232531,-1.499950925,0.658582073,0.549853984,-1.107009578,0.361077539,0.713518977,-0.603117027,0.511337896,-0.887437782,0.273672083,0.019834635,-0.81239485,0.720626239,0.439840166,-0.804519538,1.836783271,-0.369270178,1.258832051,1.412893474,-0.501182787,1.238939198,-0.288997357,0.067789751,1.152208379,0.526188785,-0.069404134,1.495980862,1.258734344,-0.675468302,1.687746567,-1.08832272,0.914665262,-0.928811608,2.465216173,1.251493568,2.024153327,0.129619466,1.326247878,-1.074977484,-0.652943262,-0.648600253,1.613469758,0.666836042,-0.411834852,-1.667926085,0.966282918,-0.532231971,0.053006993,-0.566910183,1.381333552,-1.46440042,0.477944039,-0.456398413,-0.255399118,0.643411232,-0.346537496,0.894954719,0.159063,0.004985293,0.6942136,-0.31927197,-0.431216204,0.804472596,0.04899309,-1.083914551,0.388415207,0.72180431,0.323653895,0.755251863,-1.408160923,-0.505437393,0.81870864,-1.701551073,0.961425864,-0.156978119,-0.159798552,1.736600928,-2.524528683,0.102416353,1.413534468
1,1.230356874,1.461621856,-0.185260371,-1.004232072,-0.42606486,-0.622273085,1.245465742,1.228032155,-0.152594872,-0.283358068,-0.420649846,-0.822394738,0.080033318,-0.178428324,0.415382107,0.864119012,0.235001103,-0.786195026,-0.381606094,-1.313670172,0.367849523,0.026990184,-0.24577936,-0.229385643,0.131634786,0.225704755,-0.295892935,-1.566362607,0.040422951,0.538751274,0.442400018,-1.568705763,0.611088624,0.083621325,-0.073981639,-0.465623216,-0.835020687,0.831377193,-1.499562137,-0.443831484,-0.950773235,0.160584368,-0.557611236,-0.728394394,-0.663328218,0.106923027,0.210616414,-0.771944534,-1.042697669,-0.278241808,0.351124268,-1.503303835,0.80095775,1.410840648,-2.341938553,-0.196834132,-1.413339192,-0.635910167,-1.718970817,0.32061672,1.430415445,-1.161797976,-0.642400691,-0.652798105,-0.706753115,-0.40822814,-0.056890438,0.310549324,-0.652431375,1.001012676,-1.396405934,0.278449137,0.6589358,-0.699418633,-0.376512007,0.326898331,-0.292208098,-0.230278002,-0.291259961,-0.470749784,-1.61195672,1.748437583,0.056456144,0.443576122,-0.533113841,0.170442513,0.531809956,-1.270367254,0.50135113,0.057262426,0.02259452,-0.971245502,-0.782520435,-1.383462892,-0.956499011,1.254444921,-0.12258362,0.143557974,-0.040518718,0.747177213,0.236138149,-0.185461233,-1.092259192,-0.042837781,-0.134361302,-2.603790849,0.866623647,0.148358725,-0.198281956,-1.183571985,-1.467098231
2,-0.042878063,0.83398437,0.006887512,-0.157542798,-0.397726911,0.311671019,2.052711884,0.931402073,0.425224778,-0.529973637,0.948506822,0.77745799,-0.769499473,0.385652275,-0.63480065,0.35272712,-0.119223378,0.048247731,-0.100715302,-0.540893561,-0.032004254,-2.359352216,-2.062575203,0.651943729,0.02644529,0.135650081,-0.912640729,0.843707076,-2.914671456,-0.243261292,0.78664736,-0.723059873,-0.262191856,1.611406854,-1.307198833,-1.700970572,0.445540934,-0.151126287,-0.112372981,-1.433116343,0.366403101,-0.585922277,-0.908976145,1.11042219,-1.037841703,-0.598877794,0.011160245,0.191109946,1.384104111,0.227059132,-1.792538807,0.123187691,-0.062278646,-1.881842466,0.910327666,-0.724674781,1.97500968,-0.242185162,-0.334760047,0.673693307,-1.049360351,-0.229122899,-0.702731943,-0.500757434,0.863485607,-0.014344254,0.257713614,-0.942289283,-0.680800831,0.059015314,-0.437298551,-0.952635042,0.607196822,-1.069330948,-0.196372224,0.771523927,-1.591595787,0.996270142,0.020620071,-1.884554821,-0.617259092,-0.912629488,0.04932675,-1.389843587,-1.422364079,-1.134432043,1.282021673,-1.825013206,0.851045799,0.231941032,-0.480221447,0.668839201,0.107835787,-0.494947149,-0.749060259,-0.513599242,-1.249235435,-0.629123902,1.307493496,-0.876598017,-0.688300624,1.09569302,0.308432419,0.439564994,1.027774125,-1.283610477,-0.196130147,0.325617,0.620679077,-1.408472133,-0.081255147
3,-0.299418554,-2.041621588,-0.122054506,-0.408354293,-0.005881485,-0.728367889,-0.400954307,0.454801531,-1.927892692,-0.133414802,-1.400705418,-0.930196777,1.178104294,0.019589211,2.012373306,0.893608831,-0.133320439,1.402497326,0.931312829,3.011026824,-0.193260068,-0.149552363,-0.060331126,1.416321823,0.070881258,-0.477714601,0.14551072,1.064577643,0.356568145,-0.012402504,-0.487203666,0.29669426,1.530778533,1.712371286,1.925128036,-1.051060814,-0.443433263,1.791369428,-0.268727589,0.40261999,2.586519567,-2.027161921,-1.905737729,-0.281351828,0.409967322,-0.151669262,0.49208279,1.045202409,2.178994464,-2.875280321,-0.674028841,0.322001006,-1.893239019,-0.852034892,-1.225673427,0.6955215,-0.091283461,1.003341077,-1.30656945,-0.951063439,-3.221583139,-1.174893997,0.511414647,0.69148225,-0.548362043,-0.106315126,1.336577816,-0.16874892,1.188559398,-0.231976267,1.025820657,-0.247833709,-0.028492763,-0.111339516,0.289906163,-0.410434521,0.446600562,0.449982962,1.261940826,-1.693043313,-0.93042007,0.383359419,-1.028488278,-2.396839743,1.510498863,0.37820288,0.885672244,1.080383857,-0.483901452,-1.48877719,1.987951105,-0.254847057,-1.045349009,-0.389184967,0.425910384,0.102683604,0.682855611,-0.621917502,0.318475516,-0.567299222,0.116667044,1.397884394,-0.895984185,-0.778102158,2.679426216,-0.946224912,-0.342281185,0.563822274,1.970827974,-0.589970251,-2.186394511
4,-0.227984149,-0.110559099,-1.812603172,1.19125695,-2.594690891,0.093894532,1.275894231,-0.245713453,-0.900781705,0.060751832,-1.957732755,0.682526926,-1.341068698,-1.124932318,-0.207240081,1.107780364,-0.631142651,0.410137299,-1.301227944,0.765810589,1.166923128,0.488142672,0.648737566,-0.60778427,0.678854672,0.224941431,0.677487446,0.533505153,1.440613799,0.868321259,-0.60697521,-0.324162658,-0.36942164,0.552028203,-0.04328368,-0.030922962,-0.26042124,-1.225166609,1.515516746,0.598218972,-0.157343517,0.803014739,1.444945106,0.700058003,-1.006687133,0.122268581,0.163226389,-0.599440406,-0.505968548,1.463016484,-0.061845854,-0.015086455,-0.591237692,1.08139739,0.786151018,1.090174279,0.031960984,0.406719122,-1.00577464,-1.095674675,-0.448475269,0.904625261,-0.704049609,0.549306729,-1.868171169,0.462984848,-0.160940067,-0.372292311,-0.157810158,-1.476435869,0.348438159,-0.81746994,0.619837251,-1.115097743,0.978512899,-0.891436822,-1.964245081,0.41111253,0.3780417,-1.767445101,-0.599838415,0.655471211,1.904243182,-0.969603804,0.838947087,0.037598097,-0.600247698,-0.970562891,0.927349455,-0.153720942,0.191937553,-0.74034584,0.6252037,-0.885040559,-0.396434871,0.610778427,1.687183189,-0.861044059,-1.157429769,0.382249177,-0.907131072,-0.327967878,0.311929892,-0.419993629,-0.358191892,0.105089844,-1.291803365,0.191772599,0.233572273,-0.185717342,-0.159409451
5,-1.565280688,-0.220723312,0.560217352,1.044724834,0.807894912,-0.996059347,0.404680395,0.376001872,-0.269912523,0.217900482,0.395445945,-0.572379671,0.345264394,1.500055516,-0.139235245,0.902900167,0.921643207,1.481962381,-0.752487822,0.790014393,0.207008309,1.197716744,-0.010451225,0.188129403,-1.348612649,-1.499006815,-0.178981121,-1.182761232,-0.418813746,-1.842540486,-0.708964081,-0.389177248,1.326245357,-0.497862971,0.017755547,-0.510027361,0.012770278,0.716650953,1.399453233,-1.245599861,-0.245633495,2.3841062,0.561305069,0.413843307,1.077048727,-0.520307117,-0.441735617,-0.632538623,1.41054835,0.093591191,-0.183072324,-0.655631742,0.225677277,0.707311733,0.882963885,0.067499872,-0.668034448,-0.679960208,-1.312536742,-0.782611466,-0.817156464,0.601867257,1.161363283,1.325974619,-0.245884269,-0.74978427,0.8784499,0.412714599,-0.914426356,0.411947671,-0.011465558,1.159606255,-2.499543408,-0.319544044,0.703873591,-1.235757746,1.199960909,0.854993544,-0.360312501,-0.52215426,0.479306003,0.824451288,0.017496236,-0.486579922,0.993131962,-0.206147257,0.302825536,-0.65832603,0.833065374,0.624017644,-1.867883098,-0.490225577,-1.575858021,-1.031641086,1.991216895,0.02394076,0.562048642,-0.188555449,0.964717536,-0.229379744,0.866173011,0.211179152,1.793743052,0.074930867,-1.083383113,0.239636134,1.119533234,-0.444529618,-0.33679705,-0.567180554,-0.013037512
6,-2.226393403,-1.792207331,-0.261708307,-1.872045903,-1.337654402,1.399765219,-1.22608453,1.768311162,1.347010593,0.624321119,-0.85537544,2.350413061,-0.866144579,-1.142571809,0.756152735,0.585613452,0.90496687,-0.038383222,0.617358394,-0.671501794,-1.373634787,-0.686141321,0.895431664,-0.457950561,1.784515136,1.250155088,-0.193161097,-0.54092414,0.04448523,0.017873388,0.317647557,-0.764342238,0.176694538,0.104238302,-0.419066428,1.536090152,0.593707794,0.436255144,0.238790378,-1.292576093,-0.366154263,-1.683634652,0.79937238,-0.638601657,-0.098471102,0.722378602,-0.968928782,-2.295008021,1.738775853,-0.150004064,-0.597681882,1.308344971,-1.807269216,-1.148843833,0.508171841,-1.402909272,-0.529514875,0.91845241,1.461657631,-1.701375109,0.156570762,-0.684608923,-0.289185553,-0.354277432,0.249142236,-0.555760988,-0.596446969,1.460725732,-1.066331806,-1.880037248,-0.29239818,-0.231318667,-1.044910291,-0.428475914,0.404558248,-0.087307869,1.520526249,-0.682665147,0.565730585,-0.180780484,-0.421642634,-0.341544515,-1.073196803,-1.14337828,-0.211788101,-2.045084461,0.313451797,0.843485525,-0.753393362,0.11928014,-0.395891614,0.089833571,-0.406651967,-0.465022166,-0.375553805,-2.109981386,0.498563188,-0.922987316,0.147080235,-0.842538888,1.013472942,1.728887105,0.44080414,-0.68243325,0.366172845,0.340658511,0.217245866,0.511380607,0.094500891,0.180740626,0.007160283
7,-0.33000085,-1.669649352,-0.739554014,0.464293367,0.839715373,0.784464171,1.181887844,0.224126813,0.651579221,-0.568060152,-1.269800994,-0.817334807,0.245317126,-1.541929686,-0.231442216,1.212971127,3.713764598,0.512245867,0.690464556,0.207067779,0.355409,0.461065628,-2.664504758,-0.594727734,0.259676756,0.892946529,0.242839287,0.283881328,0.00044144,0.290423392,-0.654204992,-0.469179336,0.360012482,-0.145891335,1.128369599,0.295370842,1.719046667,-0.850005637,0.726241429,1.418944624,0.669567587,-0.071388539,-0.854657695,0.679537014,-1.339045084,0.503137793,1.154921247,-0.314676561,1.022725421,0.864020003,0.543945539,0.399141556,1.650696759,-1.105105462,0.136054257,-1.191332272,1.123962802,0.82391717,0.37247899,0.075895452,-0.521292507,-0.856557145,-0.173064502,0.733906604,-1.882109044,1.333015617,0.308420758,-0.886167103,1.557172503,1.574230936,1.711131733,1.347651867,1.544643094,-0.15323398,1.504565276,0.129850345,-0.311974153,0.346435287,0.39778089,-0.092594207,0.249956537,0.164951432,1.869058496,0.129427982,2.144694069,-0.435553666,1.087670586,0.128933849,0.88610786,0.403604014,-0.37672875,-1.07343535,1.326267881,-0.164122157,1.391750198,-1.616830418,0.834513096,-0.533154599,-0.436357267,0.119436763,1.059171343,1.416803393,-0.104922484,-0.521648753,0.407351824,-0.00741606,-0.346076496,-0.630518183,-0.570717793,0.35869551,1.704780642
8,1.061599057,-0.826479163,0.517845005,-0.177556652,-0.896938675,-0.323208367,0.724285017,0.413456562,-1.054276536,-0.470209683,0.12081908,-0.47948487,-1.710937211,-0.269862933,-0.832870661,-1.303579806,-0.396827491,-1.103356439,-1.8081837,-1.384680536,-0.810156196,1.218927811,1.383020748,-1.961670056,1.107544371,-0.58182502,1.553953917,1.284556635,-0.383647747,-1.158100341,-0.383443283,-2.389027047,-0.045143911,-0.331166096,0.441920041,-0.475746523,-0.322664984,-0.160685368,-0.87142849,0.4665823,-0.364627046,-1.248025728,-1.040863486,2.024744206,1.965399045,0.808582935,-0.038194875,1.309990315,0.482888288,-0.2921951,-1.075108025,0.038934924,0.312918252,-0.052174722,1.595536214,-1.600643949,0.7978589,0.501629558,-0.385495927,0.319429105,1.511918577,0.021313212,0.078202305,-0.984658531,1.201434176,-0.361693156,1.681235745,0.494735138,-0.845088499,-0.851757472,0.11185805,2.428944184,0.983482248,2.171995721,0.168201215,0.562524984,0.835243203,-1.974100089,0.824026752,-1.86415905,0.352504933,1.598099974,-0.170704688,0.280835968,-1.004804589,2.216548577,2.672795133,0.695659017,0.713395108,-0.940049706,1.214023584,-1.910745242,-0.520938872,-0.697951185,2.278524815,1.120617957,0.526160586,-0.414952049,0.468476928,0.334727048,0.824509928,0.082333055,2.614097542,-0.61499228,0.418475284,1.586153333,-0.47606566,-1.075019853,-1.089571441,1.269086251,1.727214256
9,0.150574051,1.277544264,0.730450155,-0.11053976,-0.016627845,0.673437322,-0.582398638,0.006506188,-1.240645889,0.468998646,0.128975462,-1.333032329,0.523580035,-0.86951026,0.243848847,1.207840148,1.55492617,-0.635057616,1.075594933,-0.737266839,-0.231981045,-1.194290669,-1.021179981,-0.22962453,-1.186709798,0.335246431,-0.086267571,-1.161087278,0.676127482,1.67817912,-0.765540443,0.837262507,0.399248426,-0.072769769,-0.220004917,-0.887896952,0.335547924,-0.752740654,-0.17345998,-0.909980867,-0.05969637,-2.361890481,0.82487699,0.528311042,0.355197364,0.415326849,0.12308587,-0.668794921,-0.414274781,0.292317641,0.423366237,0.441072446,0.029411514,0.377242613,0.801644328,0.283192635,1.38533945,-0.728159507,-1.59690777,0.437927175,0.282292833,-0.074425698,0.34663349,0.981889909,-0.431972937,0.1232478,1.211067481,1.607136837,-0.554903676,0.953771015,1.23580814,1.230632318,1.290353384,-1.492317999,-0.930643097,-0.268044082,1.133354665,-0.708429898,1.100964768,0.163769199,-0.026907733,-1.29398703,1.229943755,0.576542894,0.032573203,0.200848239,-0.111556763,-0.644450223,1.899003965,-0.543833084,0.188164235,0.675302716,0.717883926,0.549158942,-0.118051284,1.351380464,1.358349546,-1.923776076,0.347376251,0.729400399,-0.864795195,-0.597956556,-0.127619889,-0.05657523,-0.344361149,-1.249399521,0.454922763,-0.203834801,-0.659820218,-0.680742972,-0.710474694
