,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111
0,0.922816439,-1.14545443,-1.250677071,-2.03715418,-0.718031443,0.366745963,-1.97567772,-0.472630492,0.0098078,-0.753505559,-0.134356877,-1.04666522,-2.085378198,0.344215347,-0.291018695,-0.357089654,0.978971295,1.595887477,1.134093661,-1.076585969,1.140355546,-1.213198761,-0.537764599,0.401132338,1.235341206,-1.563301789,0.456817743,1.223797654,0.583845659,-0.234914533,0.203750329,1.340581717,-0.234797239,-0.315820242,-0.44462807,0.321907935,-1.475520959,1.586406827,2.005877737,0.05386901,-0.378662351,0.812569805,-0.646275163,0.452482384,-0.084737281,-1.394172089,0.272360217,-0.163172247,0.687375812,-1.6046814,0.639169879,-0.54521279,0.209039261,0.097238778,1.266690152,-1.063750307,-0.353825327,-2.195353679,-0.512213545,-0.320673396,-0.59899261,-1.547966681,1.394716958,0.941315274,0.432318971,0.782424755,-1.037029192,0.677693672,-0.999934313,1.42140087,-0.490691827,0.641605092,-0.585822216,0.314976831,-0.945080172,-1.92169918,-0.246454851,1.316326688,-2.286897038,-0.178577977,1.316212486,0.568022968,0.121297357,-0.036015556,0.443408722,-0.147555367,-0.074620049,-0.619281743,-0.065226518,-0.391755519,0.602521454,0.883347874,-0.890178115,1.193851442,0.256595688,1.368152811,0.534862825,-0.180840495,-0.164133999,-0.806956923,0.521041989,-0.732431096,-0.258096602,1.55416496,0.454089683,-0.155022363,1.296948535,0.706543417,2.131256402,1.396326291,0.862123941
1,-0.325684614,0.641030198,0.211040919,2.07484177,-0.937610168,-0.44499664,-1.285740469,-0.249449063,-0.13122718,0.641978651,0.150263217,-0.840765939,0.853355899,-0.664911148,0.966572804,0.614171833,-2.148696364,0.549042443,-1.823696035,-0.036343486,0.495621678,-0.194161895,0.7105653,0.910916343,1.099340625,1.179339495,1.354419916,-0.047815266,1.000778823,-0.769845182,-0.528644988,-0.821001426,-0.505068108,-1.232025477,-0.559762718,-1.418604363,0.232445702,0.404597436,-0.018132698,0.84727013,-0.823915326,-1.581397514,0.255534574,-0.356964024,0.30106525,1.419534007,1.467453708,-0.303354938,0.953247205,1.531576529,1.818220835,-0.4905451,-1.549180372,0.128894823,1.232861412,-0.62112082,-1.103575055,1.146494222,-0.193961284,-1.497689424,-1.812558426,-0.171481488,0.948805745,-0.833694846,-1.791267154,0.463541818,0.060051598,-0.061653216,-0.626949262,-0.448144587,0.135632012,-0.048570956,-1.464025182,0.11465729,0.700225252,1.653924048,-1.679953902,0.857361847,1.052786331,-0.977785724,-0.102287386,-0.844263152,-0.464470598,1.468282671,0.993673234,0.248376518,0.069204177,-0.169184374,-0.327561437,-1.52816799,-0.508297515,-1.482215174,0.506481312,1.804253307,1.125630013,0.788834795,-2.161417899,-0.73496355,-0.387207118,2.221705312,-0.453076162,-0.458905359,1.466249454,-0.795930239,-1.050383798,0.320972098,-0.720674609,-0.114600649,-1.904253619,0.29195324,-0.49633803
2,-0.12081099,1.035798065,0.028938404,-1.417940968,-1.312594651,1.710114393,-1.367554536,-1.74768764,0.156673292,0.359335186,-1.774758205,-1.345020194,-0.33652697,0.040613102,-0.795371449,0.694131866,0.29052018,0.731216143,0.097710389,1.325488355,0.923126222,0.336265501,-0.838917649,1.23319653,1.390666764,-0.336420771,1.653343808,0.816004994,-0.31135371,0.367668686,-1.293336771,-0.525980767,-0.657384563,-1.163533919,0.841379102,0.494216005,0.6272507,0.604292563,0.963766511,-0.696275479,-0.670392402,-1.022232222,-0.685424205,0.505043156,0.675058637,-0.000777926,0.206672043,0.579323798,-1.981256194,0.506810205,-0.380223985,0.669441108,0.868934168,-0.878180714,1.881602998,0.482776912,2.114764554,1.458688165,-0.470198585,-0.679494966,-1.105545166,-0.002113204,-1.589465122,0.236779139,-0.456141568,0.012085588,-1.043174819,0.690770565,1.002695379,-1.48720264,0.133216765,-0.133295135,1.042210639,-0.949704401,0.813890838,1.880310858,-1.13091742,0.71677392,1.344456184,1.773473885,1.793979966,0.817770447,-0.975892537,-0.027976023,-0.140514097,0.341992683,0.866361577,0.440172229,-0.009131273,1.084963947,0.643840342,0.686901257,-0.074886969,0.357181127,-0.602868361,-0.546050082,-0.173267472,0.956589019,1.71230985,1.575191185,0.526215093,1.027520503,0.284692783,1.201872253,0.575532568,0.489534175,0.029982524,1.378083922,-0.120342441,0.56668089,-1.295405384
3,1.049484077,0.851357444,1.178056281,1.117061391,-0.629831872,-1.556521259,-0.101741018,-0.876572217,-0.874543429,-0.449866474,-0.575883909,1.979539292,1.345127095,0.189760612,-2.403750619,-1.154829831,-1.393024377,0.756013445,-0.030572653,0.001742856,-1.656629713,0.249911675,-0.907160535,-0.427673061,-0.627376892,0.500906348,0.017360896,-0.458071374,1.020079326,-1.214200301,-2.02761894,0.692065991,-0.402368606,-2.203191804,-0.501444281,0.251679628,-0.871925068,-0.840758282,0.398307768,-0.299819514,1.287628092,0.677939952,0.96180616,1.488525546,-0.271275037,-0.731589649,2.097292091,-0.532820183,-0.544908577,0.66361551,1.047875179,-1.016853397,1.513561431,-0.748525681,1.123702171,-0.684528735,-0.836799529,-0.764459426,-1.594410032,0.424192992,-0.295290102,1.124163091,-1.470090413,0.832055381,0.464017679,-1.211759685,0.613131826,-0.840769651,0.393944513,-1.160546181,-0.661208142,-0.369417635,-0.495864636,1.643717682,0.271866798,-0.980778076,-1.024174624,0.293998248,-1.527201944,1.025063504,-0.328693739,-0.091868933,-1.03721731,1.552433393,-0.903489525,2.450068944,1.410344592,-0.383725527,-0.361146686,-0.151901964,-0.616265185,0.408120645,0.720835017,-1.301792076,-0.799452662,-0.388151178,-0.338006979,-0.740231677,-0.203040447,-0.049922032,1.182098469,-0.381363083,1.011247696,-1.427745304,-0.409138857,-0.849455836,-1.02332746,-0.089163415,-0.017540104,-0.66526992,0.423304223
4,-0.625708506,-1.215457759,-0.341717662,1.493324885,-0.01313907,0.466770089,0.487490836,0.6261016,1.263456409,-0.792811777,3.264607677,1.102335334,-0.760455484,0.018883359,0.24936752,-0.013012279,1.052402329,-1.456116933,-1.597639829,-1.377852072,-0.17827334,-0.019765224,0.762149448,-0.632609542,-1.353794556,-0.037655129,-0.899375711,0.459221644,0.821512729,-2.287061925,-0.576968298,-1.032197833,-0.51842667,0.048757596,0.441188984,-0.982631986,0.507930995,0.353736252,-0.015468994,0.648348839,-0.666817181,-2.571644326,-1.328759859,-0.978210159,-1.940502626,-0.513607829,-0.089222313,1.036306445,-1.555477404,0.609140756,-0.531982236,-0.2032872,1.171676402,1.736660532,-0.426790763,1.084286764,0.509642836,0.69843281,0.394149741,0.613465944,0.611136369,0.113562962,1.543798941,-3.727123467,0.179665149,-0.264868686,1.728880811,-0.960324772,-1.661759377,-0.391481565,0.769155884,0.084819742,0.148573289,-0.430771775,0.057281878,1.183259717,1.036296052,0.473824527,-0.390733674,1.324280994,0.558142347,0.960442633,0.160697299,-1.132299807,0.256392576,-0.075254218,0.492399871,0.351598255,-0.678804748,1.647939091,0.492714195,-1.051860052,-0.531428391,-0.043585523,-0.836050075,0.99269588,-1.010547193,-1.081842226,0.44404002,0.362323698,-1.272715038,-1.090216913,-0.656956499,1.03474579,0.009783987,1.574225619,1.25911207,-1.09630849,-0.940709668,-0.33168314,0.876706436
5,-0.99626883,-0.850250026,1.726480529,-0.681466909,-1.208762592,-0.672136095,0.36876349,-0.719009744,-1.243583988,0.829990366,1.638079123,0.30796565,1.037713081,-0.18722219,1.029669145,0.236506144,0.096449807,-0.624030161,0.829105759,-0.350452724,1.900079935,-0.778809395,1.089087465,0.947520293,0.5769839,0.153070447,0.351230309,-0.29348826,0.808246012,-1.193697044,1.397313018,-0.789674999,1.267376004,0.323621593,0.516689663,-0.759116445,0.864671996,-0.037695967,-0.549974821,-0.93648444,1.008660285,2.041641259,-0.639703335,0.821450233,0.381687921,-0.699386741,-1.131223802,1.788327989,0.910896189,0.271561998,0.04619399,0.059707845,1.373481682,-1.127216009,-0.964306145,-0.087024978,-1.138331812,-0.698706167,0.662869231,1.73505632,-0.450149242,1.822532192,-1.719752078,-0.939314741,-0.268755224,-1.532961562,1.14782973,0.136791943,1.104819698,1.389688718,-0.185040768,-0.407116316,0.098604689,1.726381225,-0.585826144,1.550761146,-0.772858089,0.097003088,-1.992739915,-1.124016711,-1.337812934,1.202514633,1.364297117,-0.837512953,0.039084291,-0.463845549,-0.390595329,-0.650339246,-0.498851493,-1.159576219,-0.242045539,0.110187259,1.65572601,-0.901444013,2.631476995,0.069418655,-0.646197513,0.047863071,-0.978129596,0.012877382,1.677911263,-0.095253797,-1.146475996,0.436338124,-0.840013529,1.027167154,0.136768492,-0.595278031,-0.435010349,0.248781379,-0.438760688
6,1.060793871,-0.25354107,0.196354361,1.260503149,-1.069418984,0.111707015,0.666539611,-0.188129731,-1.27822265,-0.21534662,0.230752395,-0.210522179,-0.302236097,-0.56863037,0.570269621,0.033728388,-0.652799233,-0.302307247,0.571909694,0.455484707,0.917018514,0.036249568,-0.619939126,-0.033924046,-0.167329165,-0.17814831,-0.280024957,-0.206368565,-0.028250049,0.49119101,0.504604935,0.115714695,-0.56653375,0.483214393,-1.003802787,-2.051783578,-1.404964582,-0.626576704,-1.352760698,0.7773286,-0.296341921,0.13186382,8.16E-05,2.166267945,-0.69644728,-1.289727827,-0.66613969,1.680199151,0.307300563,-0.7938337,-0.019085565,-0.043987697,0.758989093,0.305849293,-0.048465096,0.36881042,0.463389445,0.118737383,-1.162771535,0.906587528,-2.880325779,-0.371489947,0.059934399,-0.61568582,0.153974277,0.723093924,0.003227986,-1.824628767,-1.143783925,1.115314904,-0.026522311,-1.712892083,-0.311942737,0.166271306,-2.711922163,1.437598003,0.446960728,0.743873609,-1.039074028,-2.330183822,0.654401013,-0.364862632,2.918647089,-0.193470664,-0.74040523,2.176586617,-0.658239047,-3.122601759,1.493314697,0.898136818,-1.475169258,0.942237658,1.375691331,0.882075433,0.790991493,0.433391082,0.967813866,-0.043630462,-1.0559976,1.629915299,-0.571696478,-0.126572386,-1.037882493,-0.333775217,-0.752949173,-0.738319243,0.246976381,-1.667011641,-0.237617945,-1.266891065,0.501800204
7,-0.731224719,-0.877828589,0.053471774,-0.787382955,1.516874066,0.745555963,1.714661347,1.498514402,0.926542993,-0.179264829,0.003152503,-0.088195583,-1.435753309,0.89827467,-1.696490312,-0.559745805,1.516185844,-0.940609828,0.085441511,-0.504943574,-1.381881097,1.059817492,1.135293652,1.058949434,0.463338428,-1.751820245,-0.098024244,-1.647890926,0.28791123,-1.296015905,-0.052832287,0.125204481,-0.417489042,-1.248238412,1.483652584,-0.229477156,-0.436150538,2.009345428,0.976401852,-1.034613964,-1.450399345,-0.893814215,1.279759903,-0.058346492,-1.5563888,0.881454934,-1.385586922,-0.775717706,0.686070125,0.847756997,-0.963286026,-0.620810316,1.41665521,-1.224267876,-0.748585703,-0.3494091,-0.237191852,-0.643026063,0.656633791,0.305051415,-0.106870075,0.664805725,0.145714243,-0.35240027,0.724905525,0.955967473,0.778000011,1.175947385,-1.919555134,0.388708035,-0.474946468,0.692600861,-0.473869682,1.55300403,1.589045523,1.092128244,1.245346624,-0.64079658,0.937120484,1.663046623,-0.949846031,0.034554842,-0.284278155,0.799669781,2.752882179,1.192840529,0.551040737,0.808736894,-1.139742728,-0.387968196,-0.444043241,-0.336195592,-0.670118939,2.391474705,-0.831970958,-0.268823853,0.388825589,-2.945192542,-2.172314455,2.46894815,-1.257848495,0.840326213,1.100526613,0.230239201,-0.464960615,-0.987295112,0.779647599,1.127425688,1.20888882,-0.202448601,-0.792289616
8,-0.873148524,0.812113414,0.264191961,1.108954546,1.221001436,0.338162735,0.952872286,-2.604153879,-0.918134592,1.256614488,-0.256519815,1.19537622,0.075922833,1.128837363,1.795381292,1.219052726,-0.146838067,0.215475352,-1.188124864,0.54639582,0.494611244,1.698025977,0.035059755,-0.880276609,1.087679983,-0.894257401,-0.915042461,-0.626605145,-0.501420237,-2.008033389,1.698229513,-0.041878297,-1.485536169,0.077400017,-0.045819892,-0.570258364,1.708737906,0.447092091,-0.320097526,-0.848781317,-0.142199558,-1.196353194,-0.001253365,1.234405723,-1.41051427,-0.735713676,0.055388678,0.644288302,0.670000201,-1.463962755,-0.312467051,0.708707911,-1.023722499,0.407220799,-0.49189441,1.711435801,0.07113611,0.594460585,0.125939847,-0.683038256,0.887189779,0.328120102,0.022931813,-0.322934354,-1.558865804,-0.529879355,-0.202223631,0.376968333,0.042656898,-0.17120913,-1.025101877,-0.084787751,-0.800278328,-1.147288523,0.078541937,-1.683802533,-0.289065802,0.000431939,0.17509435,2.128070048,-0.821791303,-0.326700456,-0.066390064,-0.522423522,0.45264878,-0.550074603,0.882033774,-0.025169585,1.311825139,-0.465937939,0.95681232,0.282568888,0.385255253,-0.966477792,0.174418211,-0.705671321,0.375368876,-0.318976311,0.545357239,0.753405718,0.481600054,-1.575393392,0.362839985,0.289716873,-1.52780726,-0.805855866,-0.65389301,-0.093647253,-0.586443996,0.235184654,-0.727939619
9,-0.438851744,-1.643853437,-1.098407301,-0.479502607,-0.845532044,-0.261018366,0.870393863,-0.548626706,0.329273149,0.599752297,0.784298079,1.604319444,-1.22362948,-1.877070447,0.57126055,0.553999636,-0.52276044,-0.666526864,-0.501842885,-0.742807424,1.367383426,1.366586035,-2.558015304,-2.972751072,-0.652729262,-0.606502095,1.025656459,0.961258405,-1.118081147,-0.911544423,-0.504533894,-1.323670926,1.469394459,-2.559666537,0.125700324,-0.561009142,0.345570877,0.095152488,0.996721174,-0.04796749,-1.032554978,0.561288962,0.201300657,0.590324567,0.807032478,-0.549986868,0.642497286,-0.307899784,0.763004417,0.022775659,0.741974229,-0.521459754,1.321353015,1.523280767,-0.039968457,0.113424187,-0.112451609,-1.035573718,0.129828747,-0.387833568,0.507150562,-0.839631217,-0.030812957,0.087853991,-1.554508689,0.116535017,1.107417932,-0.706916208,-0.936236346,-0.025154302,-0.902216558,-0.811034038,-0.924915679,0.448110042,-0.031475601,-0.871453171,0.890244816,-0.165829172,-0.486397753,-1.761046728,0.469913484,-0.306464599,-0.057392797,-1.212391787,-1.674629686,-0.112258937,2.300269758,0.392838466,-1.396796381,1.479867563,0.710123466,0.687327393,0.304376494,1.601356143,-0.662743566,0.34865123,-0.1640289,-0.869497458,-0.671192988,-0.039604107,1.156966567,-0.113066543,-0.138447044,0.594507575,-0.54650077,-1.191059327,0.374283557,-1.853940207,-0.116833262,0.234176894,0.345983709
